time/s,control/V/mA,Ecell/V,<I>/mA,Q discharge/mA.h,Q charge/mA.h,control/V,control/mA,cycle number
1726.4640820026398,1750.0,3.7049955999999997,1750.817614675912,0.0,839.5876026163057,0.0,1750.0,1.0
1756.4640834275633,1750.0,3.7079093000000003,1750.8045915075852,0.0,854.1776415718585,0.0,1750.0,1.0
1786.4640848524796,1750.0,3.7110198,1750.9738631792331,0.0,868.7690911247421,0.0,1750.0,1.0
1816.4640862774104,1750.0,3.7140120999999997,1750.9851400829941,0.0,883.3606346518283,0.0,1750.0,1.0
1846.464087702334,1750.0,3.7170045,1750.9760426469031,0.0,897.9521023669432,0.0,1750.0,1.0
1876.4640891272502,1750.0,3.7200756,1750.972196113882,0.0,912.5435380276148,0.0,1750.0,1.0
1906.464090552181,1750.0,3.7231468999999997,1750.9865316763533,0.0,927.1350931513127,0.0,1750.0,1.0
1936.4640919771045,1750.0,3.7261786,1750.987989187676,0.0,941.7266604209392,0.0,1750.0,1.0
1966.4640934020354,1750.0,3.7292104,1750.9996592147909,0.0,956.3183249407957,0.0,1750.0,1.0
1996.4640948269516,1750.0,3.7323207999999997,1750.995970868613,0.0,970.909958724433,0.0,1750.0,1.0
2026.4640962518752,1750.0,3.7354705000000004,1750.9846412955828,0.0,985.501498094957,0.0,1750.0,1.0
2056.464097676806,1750.0,3.7385025,1750.989787429779,0.0,1000.093080349935,0.0,1750.0,1.0
2086.4640991017222,1750.0,3.7413373,1751.00921820685,0.0,1014.684824528062,0.0,1750.0,1.0
2116.4641005266385,1750.0,3.7442904,1750.994658547711,0.0,1029.276447375692,0.0,1750.0,1.0
2146.4641019515766,1750.0,3.7473221,1750.9970481716211,0.0,1043.8680901368539,0.0,1750.0,1.0
2176.464103376493,1750.0,3.7502356,1750.996732717535,0.0,1058.459730269233,0.0,1750.0,1.0
2206.4641048014164,1750.0,3.7531885999999997,1751.003401450942,0.0,1073.051425974392,0.0,1750.0,1.0
2236.46410622634,1750.0,3.7560629999999997,1750.986637193926,0.0,1087.642981977403,0.0,1750.0,1.0
2266.4641076512635,1750.0,3.7589371,1751.007378566638,0.0,1102.234710825195,0.0,1750.0,1.0
2296.4641090761797,1750.0,3.7621263999999996,1750.9974155381399,0.0,1116.8263566477451,0.0,1750.0,1.0
2326.464110501118,1750.0,3.7649218999999996,1751.002088666173,0.0,1131.418041413031,0.0,1750.0,1.0
2356.464111926034,1750.0,3.7678354,1750.9757666133871,0.0,1146.009506827867,0.0,1750.0,1.0
2386.464113350965,1750.0,3.7709854,1750.9560355596373,0.0,1160.600807817247,0.0,1750.0,1.0
2416.4641147758884,1750.0,3.7738202000000003,1750.980283125217,0.0,1175.192310869683,0.0,1750.0,1.0
2446.4641162008047,1750.0,3.7768912000000006,1750.9715398476371,0.0,1189.783741061469,0.0,1750.0,1.0
2476.4641176257355,1750.0,3.7800019,1750.982383995885,0.0,1204.3752616211611,0.0,1750.0,1.0
2506.464119050652,1750.0,3.7830336000000004,1750.986479649988,0.0,1218.966816311306,0.0,1750.0,1.0
2536.4641204755753,1750.0,3.7861046999999997,1750.98371036301,0.0,1233.5583479240581,0.0,1750.0,1.0
2566.464121900506,1750.0,3.7892544000000004,1750.979548082934,0.0,1248.149844851142,0.0,1750.0,1.0
